drug_name,drug_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
Tenofovir,DB00300,"Hepatitis B, Chronic",C0524909,NA,Approved,NA,NA
Tenofovir,DB00300,HIV Infections,C0019693,NA,Approved,NA,NA
Tranexamic Acid,DB00302,Female hypogonadism syndrome,C0271578,NA,Approved,NA,NA
Tranexamic Acid,DB00302,Menorrhagia,C0025323,NA,Approved,NA,NA
Tranexamic Acid,DB00302,Endometriosis,C0014175,NA,Approved,NA,NA
Ertapenem,DB00303,Miscarriage with sepsis,C0269398,NA,Approved,NA,NA
Ertapenem,DB00303,Acute bacterial peritonitis,C0275550,NA,Approved,NA,NA
Ertapenem,DB00303,Diabetic foot infection,C0744130,NA,Approved,NA,NA
Ertapenem,DB00303,Haemophilus influenzae pneumonia,C0276026,NA,Approved,NA,NA
Ertapenem,DB00303,Peptostreptococcus infection,C1096562,NA,Approved,NA,NA
Ertapenem,DB00303,Abdominal Abscess,C0243001,NA,Approved,NA,NA
Ertapenem,DB00303,PYELONEPHRITIS E COLI,C0748196,NA,Approved,NA,NA
Ertapenem,DB00303,Streptococcal pneumonia,C0155862,NA,Approved,NA,NA
Ertapenem,DB00303,Intraabdominal Infections,C1112209,NA,Approved,NA,NA
Ertapenem,DB00303,Female genital tract infection,C1263758,NA,Approved,NA,NA
Ertapenem,DB00303,Moraxella catarrhalis pneumonia,C0857831,NA,Approved,NA,NA
Ertapenem,DB00303,"Pneumonia, Bacterial",C0004626,NA,Approved,NA,NA
Mitomycin,DB00305,Adenocarcinoma of pancreas,C0281361,NA,Approved,NA,NA
Mitomycin,DB00305,Malignant neoplasm of stomach stage IV,C0278498,NA,Approved,NA,NA
Talbutal,DB00306,Sleeplessness,C0917801,NA,Approved,NA,NA
Bexarotene,DB00307,"Lymphoma, T-Cell, Cutaneous",C0079773,NA,Approved,NA,NA
Vindesine,DB00309,Malignant neoplasm of lung,C0242379,NA,Approved,NA,NA
Vindesine,DB00309,"Myeloid Leukemia, Chronic",C0023473,NA,Approved,NA,NA
Vindesine,DB00309,melanoma,C0025202,NA,Approved,NA,NA
Vindesine,DB00309,Acute lymphocytic leukemia,C0023449,NA,Approved,NA,NA
Chlorthalidone,DB00310,Edema,C0013604,NA,Approved,NA,NA
Chlorthalidone,DB00310,Hypertensive disease,C0020538,NA,Approved,NA,NA
Pentobarbital,DB00312,Epilepsy,C0014544,NA,Approved,NA,NA
Pentobarbital,DB00312,Status Epilepticus,C0038220,NA,Approved,NA,NA
Pentobarbital,DB00312,Cerebral Ischemia,C0917798,NA,Approved,NA,NA
Pentobarbital,DB00312,Sleeplessness,C0917801,NA,Approved,NA,NA
Pentobarbital,DB00312,Severe anxiety (panic),C0231403,NA,Approved,NA,NA
Valproic Acid,DB00313,"Bipolar affective disorder, current episode manic",C0338873,NA,Approved,NA,NA
Valproic Acid,DB00313,Epilepsy characterized by intractable complex partial seizures,C2711653,NA,Approved,NA,NA
Valproic Acid,DB00313,Epilepsy,C0014544,NA,Approved,NA,NA
Valproic Acid,DB00313,Absence Epilepsy,C0014553,NA,Approved,NA,NA
Capreomycin,DB00314,Acute tuberculosis,C0275959,NA,Approved,NA,NA
Capreomycin,DB00314,"Tuberculosis, Pulmonary",C0041327,NA,Approved,NA,NA
Zolmitriptan,DB00315,Migraine Disorders,C0149931,NA,Approved,NA,NA
Acetaminophen,DB00316,Pain,C0030193,NA,Approved,NA,NA
Acetaminophen,DB00316,Tension Headache,C0033893,NA,Approved,NA,NA
Acetaminophen,DB00316,Back Pain,C0004604,NA,Approved,NA,NA
Acetaminophen,DB00316,Migraine Disorders,C0149931,NA,Approved,NA,NA
Acetaminophen,DB00316,Headache Disorders,C0393735,NA,Approved,NA,NA
Acetaminophen,DB00316,Arthritic pains,C0857177,NA,Approved,NA,NA
Acetaminophen,DB00316,Arthralgia,C0003862,NA,Approved,NA,NA
Acetaminophen,DB00316,Fever,C0015967,NA,Approved,NA,NA
Acetaminophen,DB00316,Allergic rhinitis (disorder),C2607914,NA,Approved,NA,NA
Acetaminophen,DB00316,Sinus headache,C0037195,NA,Approved,NA,NA
Acetaminophen,DB00316,Influenza-like symptoms,C0392171,NA,Approved,NA,NA
Acetaminophen,DB00316,Toothache,C0040460,NA,Approved,NA,NA
Acetaminophen,DB00316,Common Cold,C0009443,NA,Approved,NA,NA
Gefitinib,DB00317,Non-Small Cell Lung Carcinoma,C0007131,NA,Approved,NA,NA
Gefitinib,DB00317,Epidermal growth factor receptor positive non-small cell lung cancer,C1960925,NA,Approved,NA,NA
Codeine,DB00318,Sneezing,C0037383,NA,Approved,NA,NA
Codeine,DB00318,Coughing,C0010200,NA,Approved,NA,NA
Codeine,DB00318,Common Cold,C0009443,NA,Approved,NA,NA
Codeine,DB00318,Fever,C0015967,NA,Approved,NA,NA
Codeine,DB00318,Nasal congestion (finding),C0027424,NA,Approved,NA,NA
Codeine,DB00318,Sore Throat,C0242429,NA,Approved,NA,NA
Codeine,DB00318,Rhinitis,C0035455,NA,Approved,NA,NA
Codeine,DB00318,Headache Disorders,C0393735,NA,Approved,NA,NA
Codeine,DB00318,Rhinorrhea,C1260880,NA,Approved,NA,NA
Codeine,DB00318,Pain,C0030193,NA,Approved,NA,NA
Codeine,DB00318,Influenza-like symptoms,C0392171,NA,Approved,NA,NA
Codeine,DB00318,Tension Headache,C0033893,NA,Approved,NA,NA
Codeine,DB00318,Allergic rhinitis (disorder),C2607914,NA,Approved,NA,NA
Piperacillin,DB00319,Enterobacter pneumonia,C1096258,NA,Approved,NA,NA
Piperacillin,DB00319,Infection due to Pseudomonas aeruginosa,C0276075,NA,Approved,NA,NA
Piperacillin,DB00319,Proteus septicemia,C0577690,NA,Approved,NA,NA
Piperacillin,DB00319,Acute gonococcal endometritis,C0153196,NA,Approved,NA,NA
Piperacillin,DB00319,Staphylococcus aureus infection,C1318973,NA,Approved,NA,NA
Piperacillin,DB00319,Bacterial sepsis,C0684256,NA,Approved,NA,NA
Piperacillin,DB00319,Proteus urinary tract infection,C0577709,NA,Approved,NA,NA
Piperacillin,DB00319,Acute gonococcal cervicitis,C0153195,NA,Approved,NA,NA
Piperacillin,DB00319,Abdominal Abscess,C0243001,NA,Approved,NA,NA
Piperacillin,DB00319,URINARY TRACT INFECTION ENTEROCOCCUS,C0749958,NA,Approved,NA,NA
Piperacillin,DB00319,Escherichia coli septicemia,C0276088,NA,Approved,NA,NA
Piperacillin,DB00319,Nosocomial pneumonia,C0949083,NA,Approved,NA,NA
Piperacillin,DB00319,Lower respiratory tract infection,C0149725,NA,Approved,NA,NA
Piperacillin,DB00319,Pneumonia due to Escherichia coli,C0276089,NA,Approved,NA,NA
Piperacillin,DB00319,Infection of bone,C2242472,NA,Approved,NA,NA
Piperacillin,DB00319,Arthropathy associated with infection,C0157749,NA,Approved,NA,NA
Piperacillin,DB00319,Escherichia coli Infections,C0014836,NA,Approved,NA,NA
Piperacillin,DB00319,Streptococcal sepsis,C0152964,NA,Approved,NA,NA
Piperacillin,DB00319,Pelvic Inflammatory Disease,C0242172,NA,Approved,NA,NA
Piperacillin,DB00319,Septicemia due to enterococcus,C0588233,NA,Approved,NA,NA
Piperacillin,DB00319,Appendicitis,C0003615,NA,Approved,NA,NA
Piperacillin,DB00319,Infection of skin AND/OR subcutaneous tissue,C0178299,NA,Approved,NA,NA
Piperacillin,DB00319,Enterobacteriaceae Infections,C0014347,NA,Approved,NA,NA
Piperacillin,DB00319,Sepsis due to Pseudomonas,C2887096,NA,Approved,NA,NA
Piperacillin,DB00319,Postoperative infection,C0392618,NA,Approved,NA,NA
Piperacillin,DB00319,Acute gonococcal urethritis,C0275652,NA,Approved,NA,NA
Piperacillin,DB00319,Peritonitis,C0031154,NA,Approved,NA,NA
Piperacillin,DB00319,Intraabdominal Infections,C1112209,NA,Approved,NA,NA
Piperacillin,DB00319,Sepsis due to Gram negative bacteria,C3163829,NA,Approved,NA,NA
Piperacillin,DB00319,Pneumonia due to Pseudomonas,C0155860,NA,Approved,NA,NA
Piperacillin,DB00319,Rhinoscleroma,C0035468,NA,Approved,NA,NA
Piperacillin,DB00319,Diabetic foot infection,C0744130,NA,Approved,NA,NA
Piperacillin,DB00319,Bacterial infection due to Klebsiella pneumoniae,C0343402,NA,Approved,NA,NA
Piperacillin,DB00319,Gonorrhea,C0018081,NA,Approved,NA,NA
Piperacillin,DB00319,Serratia Infections,C0085394,NA,Approved,NA,NA
Piperacillin,DB00319,Septicemia due to Bacteroides,C0276064,NA,Approved,NA,NA
Piperacillin,DB00319,Serratia sepsis,C0152973,NA,Approved,NA,NA
Piperacillin,DB00319,Urinary tract infection,C0042029,NA,Approved,NA,NA
Piperacillin,DB00319,Escherichia coli urinary tract infection,C0577708,NA,Approved,NA,NA
Piperacillin,DB00319,Haemophilus influenzae pneumonia,C0276026,NA,Approved,NA,NA
Piperacillin,DB00319,"Pneumonia, Bacterial",C0004626,NA,Approved,NA,NA
Piperacillin,DB00319,Klebsiella cystitis,C0520775,NA,Approved,NA,NA
Piperacillin,DB00319,Female genital tract infection,C1263758,NA,Approved,NA,NA
Dihydroergotamine,DB00320,Cluster Headache,C0009088,NA,Approved,NA,NA
Dihydroergotamine,DB00320,Vascular Headaches,C0042376,NA,Approved,NA,NA
Dihydroergotamine,DB00320,Migraine Disorders,C0149931,NA,Approved,NA,NA
Amitriptyline,DB00321,Mixed anxiety and depressive disorder,C0338908,NA,Approved,NA,NA
Amitriptyline,DB00321,Depressive disorder,C0011581,NA,Approved,NA,NA
Floxuridine,DB00322,Malignant neoplasm of liver,C0345904,NA,Approved,NA,NA
Floxuridine,DB00322,Primary malignant neoplasm of gastrointestinal tract,C1306632,NA,Approved,NA,NA
Tolcapone,DB00323,Parkinson Disease,C0030567,NA,Approved,NA,NA
Fluorometholone,DB00324,Uveitis,C0042164,NA,Approved,NA,NA
Fluorometholone,DB00324,Herpes zoster keratitis,C1275687,NA,Approved,NA,NA
Fluorometholone,DB00324,Cyclitis,C0010543,NA,Approved,NA,NA
Fluorometholone,DB00324,Iridocyclitis,C0022073,NA,Approved,NA,NA
Fluorometholone,DB00324,Punctate keratopathy,C0423234,NA,Approved,NA,NA
Fluorometholone,DB00324,Corneal Ulcer,C0010043,NA,Approved,NA,NA
Fluorometholone,DB00324,Corneal abrasion,C0010032,NA,Approved,NA,NA
Fluorometholone,DB00324,Rosacea,C0035854,NA,Approved,NA,NA
Fluorometholone,DB00324,Allergic Conjunctivitis,C0009766,NA,Approved,NA,NA
Fluorometholone,DB00324,Iritis,C0022081,NA,Approved,NA,NA
Nitroprusside,DB00325,Hypertensive urgency,C0745138,NA,Approved,NA,NA
Nitroprusside,DB00325,Decompensated cardiac failure,C0581377,NA,Approved,NA,NA
Nitroprusside,DB00325,Hypertensive disease,C0020538,NA,Approved,NA,NA
Nitroprusside,DB00325,Malignant essential hypertension,C0024588,NA,Approved,NA,NA
Calcium Gluceptate,DB00326,Hypermagnesemia,C0151714,NA,Approved,NA,NA
Calcium Gluceptate,DB00326,Hyperkalemia,C0020461,NA,Approved,NA,NA
Calcium Gluceptate,DB00326,Hypocalcemia,C0020598,NA,Approved,NA,NA
Calcium Gluceptate,DB00326,Disorder of electrolytes,C1704431,NA,Approved,NA,NA
Calcium Gluceptate,DB00326,Hypocalcemic tetany,C0151940,NA,Approved,NA,NA
Calcium Gluceptate,DB00326,Cardiac Arrest,C0018790,NA,Approved,NA,NA
Hydromorphone,DB00327,Common Cold,C0009443,NA,Approved,NA,NA
Hydromorphone,DB00327,Coughing,C0010200,NA,Approved,NA,NA
Hydromorphone,DB00327,Acute postoperative pain,C2215257,NA,Approved,NA,NA
Hydromorphone,DB00327,Pain,C0030193,NA,Approved,NA,NA
Hydromorphone,DB00327,Severe pain,C0278140,NA,Approved,NA,NA
Indomethacin,DB00328,Tenosynovitis,C0039520,NA,Approved,NA,NA
Indomethacin,DB00328,Bursitis,C0006444,NA,Approved,NA,NA
Indomethacin,DB00328,shoulder bursitis,C0262399,NA,Approved,NA,NA
Indomethacin,DB00328,Rheumatoid Arthritis,C0003873,NA,Approved,NA,NA
Indomethacin,DB00328,Ankylosing spondylitis,C0038013,NA,Approved,NA,NA
Indomethacin,DB00328,Patent ductus arteriosus,C0013274,NA,Approved,NA,NA
Indomethacin,DB00328,Shoulder tendinitis,C0262633,NA,Approved,NA,NA
Indomethacin,DB00328,Synovitis,C0039103,NA,Approved,NA,NA
Indomethacin,DB00328,Degenerative polyarthritis,C0029408,NA,Approved,NA,NA
Indomethacin,DB00328,Tendinitis,C0039503,NA,Approved,NA,NA
Indomethacin,DB00328,Gout,C0018099,NA,Approved,NA,NA
Indomethacin,DB00328,Rheumatism,C0035435,NA,Approved,NA,NA
Ethambutol,DB00330,Acute tuberculosis,C0275959,NA,Approved,NA,NA
Ethambutol,DB00330,"Tuberculosis, Pulmonary",C0041327,NA,Approved,NA,NA
Metformin,DB00331,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,NA,Approved,NA,NA
Ipratropium bromide,DB00332,Bronchial Spasm,C0006266,NA,Approved,NA,NA
Ipratropium bromide,DB00332,Rhinorrhea,C1260880,NA,Approved,NA,NA
Ipratropium bromide,DB00332,Allergic rhinitis (disorder),C2607914,NA,Approved,NA,NA
Ipratropium bromide,DB00332,Chronic Obstructive Airway Disease,C0024117,NA,Approved,NA,NA
Ipratropium bromide,DB00332,Pulmonary Emphysema,C0034067,NA,Approved,NA,NA
Ipratropium bromide,DB00332,Bronchitis,C0006277,NA,Approved,NA,NA
Methadone,DB00333,Opioid withdrawal,C0029104,NA,Approved,NA,NA
Methadone,DB00333,Severe pain,C0278140,NA,Approved,NA,NA
Olanzapine,DB00334,"Depression, Bipolar",C0005587,NA,Approved,NA,NA
Olanzapine,DB00334,Bipolar disorder in remission,C0270425,NA,Approved,NA,NA
Olanzapine,DB00334,Major Depressive Disorder,C1269683,NA,Approved,NA,NA
Olanzapine,DB00334,Mixed bipolar I disorder,C0236780,NA,Approved,NA,NA
Olanzapine,DB00334,"Bipolar affective disorder, current episode manic",C0338873,NA,Approved,NA,NA
Olanzapine,DB00334,Schizophrenia,C0036341,NA,Approved,NA,NA
Atenolol,DB00335,Myocardial Infarction,C0027051,NA,Approved,NA,NA
Atenolol,DB00335,Angina Pectoris,C0002962,NA,Approved,NA,NA
Atenolol,DB00335,Hypertensive disease,C0020538,NA,Approved,NA,NA
Nitrofural,DB00336,Escherichia coli urinary tract infection,C0577708,NA,Approved,NA,NA
Nitrofural,DB00336,Klebsiella cystitis,C0520775,NA,Approved,NA,NA
Nitrofural,DB00336,URINARY TRACT INFECTION ENTEROCOCCUS,C0749958,NA,Approved,NA,NA
Omeprazole,DB00338,Erosive esophagitis,C0267055,NA,Approved,NA,NA
Omeprazole,DB00338,Zollinger-Ellison syndrome,C0043515,NA,Approved,NA,NA
Omeprazole,DB00338,Peptic Esophagitis,C0014869,NA,Approved,NA,NA
Omeprazole,DB00338,Gastroesophageal reflux disease,C0017168,NA,Approved,NA,NA
Omeprazole,DB00338,Peptic Ulcer,C0030920,NA,Approved,NA,NA
Omeprazole,DB00338,Gastric ulcer,C0038358,NA,Approved,NA,NA
Omeprazole,DB00338,Duodenal Ulcer,C0013295,NA,Approved,NA,NA
Pyrazinamide,DB00339,Acute tuberculosis,C0275959,NA,Approved,NA,NA
Pyrazinamide,DB00339,"Tuberculosis, Pulmonary",C0041327,NA,Approved,NA,NA
Pyrazinamide,DB00339,"Tuberculosis, Meningeal",C0041318,NA,Approved,NA,NA
Metixene,DB00340,Parkinsonian Disorders,C0242422,NA,Approved,NA,NA
Cetirizine,DB00341,Allergic Conjunctivitis,C0009766,NA,Approved,NA,NA
Cetirizine,DB00341,Hay fever,C0018621,NA,Approved,NA,NA
Cetirizine,DB00341,Rhinorrhea,C1260880,NA,Approved,NA,NA
Cetirizine,DB00341,Common Cold,C0009443,NA,Approved,NA,NA
Cetirizine,DB00341,Chronic idiopathic urticaria,C0578870,NA,Approved,NA,NA
Cetirizine,DB00341,Allergic rhinitis (disorder),C2607914,NA,Approved,NA,NA
Cetirizine,DB00341,Nasal congestion (finding),C0027424,NA,Approved,NA,NA
Cetirizine,DB00341,"Rhinitis, Vasomotor",C0035460,NA,Approved,NA,NA
Cetirizine,DB00341,Sneezing,C0037383,NA,Approved,NA,NA
Diltiazem,DB00343,"Angina Pectoris, Variant",C0002963,NA,Approved,NA,NA
Diltiazem,DB00343,Hypertensive disease,C0020538,NA,Approved,NA,NA
Diltiazem,DB00343,Paroxysmal supraventricular tachycardia,C0030590,NA,Approved,NA,NA
Diltiazem,DB00343,Angina Pectoris,C0002962,NA,Approved,NA,NA
Diltiazem,DB00343,Atrial Fibrillation,C0004238,NA,Approved,NA,NA
Protriptyline,DB00344,Depressive disorder,C0011581,NA,Approved,NA,NA
Alfuzosin,DB00346,Prostatic Hypertrophy,C1739363,NA,Approved,NA,NA
Trimethadione,DB00347,Epilepsy,C0014544,NA,Approved,NA,NA
Trimethadione,DB00347,Absence Epilepsy,C0014553,NA,Approved,NA,NA
Nitisinone,DB00348,"Tyrosinemia, Type I",C0268490,NA,Approved,NA,NA
Clobazam,DB00349,Lennox-Gastaut syndrome,C0238111,NA,Approved,NA,NA
Minoxidil,DB00350,Hypertensive disease,C0020538,NA,Approved,NA,NA
Minoxidil,DB00350,Alopecia,C0002170,NA,Approved,NA,NA
Megestrol acetate,DB00351,Nutritional deficiency associated with AIDS,C0276587,NA,Approved,NA,NA
Megestrol acetate,DB00351,Endometrial Carcinoma,C0476089,NA,Approved,NA,NA
Megestrol acetate,DB00351,Hormone receptor positive malignant neoplasm of breast,C1562029,NA,Approved,NA,NA
Tioguanine,DB00352,"Leukemia, Myelocytic, Acute",C0023467,NA,Approved,NA,NA
Methylergometrine,DB00353,Postpartum Hemorrhage,C0032797,NA,Approved,NA,NA
Buclizine,DB00354,Motion Sickness,C0026603,NA,Approved,NA,NA
Aztreonam,DB00355,Intraabdominal Infections,C1112209,NA,Approved,NA,NA
Aztreonam,DB00355,Serratia Infections,C0085394,NA,Approved,NA,NA
Aztreonam,DB00355,Enterobacter pneumonia,C1096258,NA,Approved,NA,NA
Aztreonam,DB00355,URINARY TRACT INFECTION CITROBACTER,C0749955,NA,Approved,NA,NA
Aztreonam,DB00355,Bacterial urinary infection,C0729524,NA,Approved,NA,NA
Aztreonam,DB00355,Klebsiella cystitis,C0520775,NA,Approved,NA,NA
Aztreonam,DB00355,Sepsis due to Pseudomonas,C2887096,NA,Approved,NA,NA
Aztreonam,DB00355,Pelvic Inflammatory Disease,C0242172,NA,Approved,NA,NA
Aztreonam,DB00355,Rhinoscleroma,C0035468,NA,Approved,NA,NA
Aztreonam,DB00355,Infection due to Pseudomonas aeruginosa,C0276075,NA,Approved,NA,NA
Aztreonam,DB00355,Haemophilus influenzae pneumonia,C0276026,NA,Approved,NA,NA
Aztreonam,DB00355,Proteus urinary tract infection,C0577709,NA,Approved,NA,NA
Aztreonam,DB00355,Enterobacteriaceae Infections,C0014347,NA,Approved,NA,NA
Aztreonam,DB00355,Bacterial peritonitis,C0341503,NA,Approved,NA,NA
Aztreonam,DB00355,Pneumonia due to Escherichia coli,C0276089,NA,Approved,NA,NA
Aztreonam,DB00355,Escherichia coli Infections,C0014836,NA,Approved,NA,NA
Aztreonam,DB00355,Peritonitis,C0031154,NA,Approved,NA,NA
Aztreonam,DB00355,Endometritis,C0014179,NA,Approved,NA,NA
Aztreonam,DB00355,Escherichia coli urinary tract infection,C0577708,NA,Approved,NA,NA
Aztreonam,DB00355,Escherichia coli septicemia,C0276088,NA,Approved,NA,NA
Aztreonam,DB00355,Female genital tract infection,C1263758,NA,Approved,NA,NA
Aztreonam,DB00355,Infection of skin AND/OR subcutaneous tissue,C0178299,NA,Approved,NA,NA
Aztreonam,DB00355,Serratia sepsis,C0152973,NA,Approved,NA,NA
Aztreonam,DB00355,Pneumonia due to Pseudomonas,C0155860,NA,Approved,NA,NA
Aztreonam,DB00355,Bacterial infection due to Klebsiella pneumoniae,C0343402,NA,Approved,NA,NA
Aztreonam,DB00355,Proteus septicemia,C0577690,NA,Approved,NA,NA
Aztreonam,DB00355,Lower respiratory tract infection,C0149725,NA,Approved,NA,NA
Aztreonam,DB00355,Sepsis due to Gram negative bacteria,C3163829,NA,Approved,NA,NA
Aztreonam,DB00355,Urinary tract infection,C0042029,NA,Approved,NA,NA
Aztreonam,DB00355,Proteus pneumonia,C1260917,NA,Approved,NA,NA
Chlorzoxazone,DB00356,Muscle Spasticity,C0026838,NA,Approved,NA,NA
Aminoglutethimide,DB00357,Secondary malignant neoplasm of female breast,C0346993,NA,Approved,NA,NA
Mefloquine,DB00358,"Malaria, Vivax",C0024537,NA,Approved,NA,NA
Sulfadiazine,DB00359,Toxoplasmosis,C0040558,NA,Approved,NA,NA
Sulfadiazine,DB00359,Chorioretinitis,C0008513,NA,Approved,NA,NA
Sulfadiazine,DB00359,Ulcerative Colitis,C0009324,NA,Approved,NA,NA
Sulfadiazine,DB00359,Toxoplasmosis associated with AIDS,C1720498,NA,Approved,NA,NA
Sulfadiazine,DB00359,Skin Ulcer,C0037299,NA,Approved,NA,NA
Sulfadiazine,DB00359,"Toxoplasmosis, Congenital",C0040560,NA,Approved,NA,NA
Sapropterin,DB00360,Classical phenylketonuria,C0751434,NA,Approved,NA,NA
Vinorelbine,DB00361,Non-Small Cell Lung Carcinoma,C0007131,NA,Approved,NA,NA
Anidulafungin,DB00362,Candidiasis of the esophagus,C0239295,NA,Approved,NA,NA
Anidulafungin,DB00362,candidal peritonitis,C2062982,NA,Approved,NA,NA
Anidulafungin,DB00362,Candidemia,C0877445,NA,Approved,NA,NA
Clozapine,DB00363,Treatment-resistant schizophrenia,C3544321,NA,Approved,NA,NA
Sucralfate,DB00364,Duodenal Ulcer,C0013295,NA,Approved,NA,NA
Doxylamine,DB00366,Pruritus,C0033774,NA,Approved,NA,NA
Doxylamine,DB00366,Influenza-like symptoms,C0392171,NA,Approved,NA,NA
Doxylamine,DB00366,Allergic Conjunctivitis,C0009766,NA,Approved,NA,NA
Doxylamine,DB00366,"Rhinitis, Vasomotor",C0035460,NA,Approved,NA,NA
Doxylamine,DB00366,Common Cold,C0009443,NA,Approved,NA,NA
Doxylamine,DB00366,Hay fever,C0018621,NA,Approved,NA,NA
Doxylamine,DB00366,Sneezing,C0037383,NA,Approved,NA,NA
Doxylamine,DB00366,Nasal congestion (finding),C0027424,NA,Approved,NA,NA
Doxylamine,DB00366,Urticaria,C0042109,NA,Approved,NA,NA
Doxylamine,DB00366,Allergic rhinitis (disorder),C2607914,NA,Approved,NA,NA
Doxylamine,DB00366,Rhinorrhea,C1260880,NA,Approved,NA,NA
Doxylamine,DB00366,Symptomatic dermographism,C0343065,NA,Approved,NA,NA
Levonorgestrel,DB00367,Menorrhagia,C0025323,NA,Approved,NA,NA
Levonorgestrel,DB00367,Hot flushes,C0600142,NA,Approved,NA,NA
Norepinephrine,DB00368,Asthma attack,C0347950,NA,Approved,NA,NA
Norepinephrine,DB00368,Bronchitis,C0006277,NA,Approved,NA,NA
Norepinephrine,DB00368,Asthma,C0004096,NA,Approved,NA,NA
Norepinephrine,DB00368,Hypotension,C0020649,NA,Approved,NA,NA
Norepinephrine,DB00368,Bronchiectasis,C0006267,NA,Approved,NA,NA
Norepinephrine,DB00368,Pulmonary Emphysema,C0034067,NA,Approved,NA,NA
Norepinephrine,DB00368,Parkinson Disease,C0030567,NA,Approved,NA,NA
Mirtazapine,DB00370,Major Depressive Disorder,C1269683,NA,Approved,NA,NA
Meprobamate,DB00371,Anxiety,C0003467,NA,Approved,NA,NA
Timolol,DB00373,Ocular Hypertension,C0028840,NA,Approved,NA,NA
Timolol,DB00373,"Glaucoma, Open-Angle",C0017612,NA,Approved,NA,NA
Timolol,DB00373,Hypertensive disease,C0020538,NA,Approved,NA,NA
Treprostinil,DB00374,Pulmonary arterial hypertension,C2973725,NA,Approved,NA,NA
Colestipol,DB00375,Hypercholesterolemia,C0020443,NA,Approved,NA,NA
Colestipol,DB00375,Hyperlipidemia,C0020473,NA,Approved,NA,NA
Trihexyphenidyl,DB00376,Extrapyramidal Disorders,C0015371,NA,Approved,NA,NA
Trihexyphenidyl,DB00376,Parkinsonian Disorders,C0242422,NA,Approved,NA,NA
Trihexyphenidyl,DB00376,Parkinson Disease,C0030567,NA,Approved,NA,NA
Trihexyphenidyl,DB00376,"Parkinson Disease, Postencephalitic",C0030568,NA,Approved,NA,NA
Palonosetron,DB00377,Chemotherapy-induced nausea and vomiting,C0401160,NA,Approved,NA,NA
Mexiletine,DB00379,Ventricular arrhythmia,C0085612,NA,Approved,NA,NA
Amlodipine,DB00381,"Angina Pectoris, Variant",C0002963,NA,Approved,NA,NA
Amlodipine,DB00381,Cerebrovascular accident,C0038454,NA,Approved,NA,NA
Amlodipine,DB00381,Hypertensive disease,C0020538,NA,Approved,NA,NA
Amlodipine,DB00381,Angina Pectoris,C0002962,NA,Approved,NA,NA
Oxyphencyclimine,DB00383,Peptic Ulcer,C0030920,NA,Approved,NA,NA
Triamterene,DB00384,Hypertensive disease,C0020538,NA,Approved,NA,NA
Triamterene,DB00384,Edema,C0013604,NA,Approved,NA,NA
Valrubicin,DB00385,Malignant neoplasm of urinary bladder,C0005684,NA,Approved,NA,NA
Procyclidine,DB00387,Parkinson Disease,C0030567,NA,Approved,NA,NA
Procyclidine,DB00387,Parkinsonian Disorders,C0242422,NA,Approved,NA,NA
Procyclidine,DB00387,Extrapyramidal Disorders,C0015371,NA,Approved,NA,NA
Procyclidine,DB00387,"Parkinson Disease, Postencephalitic",C0030568,NA,Approved,NA,NA
Phenylephrine,DB00388,Coughing,C0010200,NA,Approved,NA,NA
Phenylephrine,DB00388,Sneezing,C0037383,NA,Approved,NA,NA
Phenylephrine,DB00388,Rhinorrhea,C1260880,NA,Approved,NA,NA
Phenylephrine,DB00388,Fever,C0015967,NA,Approved,NA,NA
Phenylephrine,DB00388,Redness of eye,C0235267,NA,Approved,NA,NA
Phenylephrine,DB00388,Rectal pain,C0034886,NA,Approved,NA,NA
Phenylephrine,DB00388,Allergic Conjunctivitis,C0009766,NA,Approved,NA,NA
Phenylephrine,DB00388,Headache Disorders,C0393735,NA,Approved,NA,NA
Phenylephrine,DB00388,Rhinitis,C0035455,NA,Approved,NA,NA
Phenylephrine,DB00388,Sinus headache,C0037195,NA,Approved,NA,NA
Phenylephrine,DB00388,Proctitis,C0033246,NA,Approved,NA,NA
Phenylephrine,DB00388,Nasal congestion (finding),C0027424,NA,Approved,NA,NA
Phenylephrine,DB00388,Allergic rhinitis (disorder),C2607914,NA,Approved,NA,NA
Phenylephrine,DB00388,Hemorrhoids,C0019112,NA,Approved,NA,NA
Phenylephrine,DB00388,Hay fever,C0018621,NA,Approved,NA,NA
Phenylephrine,DB00388,"Rhinitis, Vasomotor",C0035460,NA,Approved,NA,NA
Phenylephrine,DB00388,Influenza-like symptoms,C0392171,NA,Approved,NA,NA
Phenylephrine,DB00388,Mydriasis,C0026961,NA,Approved,NA,NA
Phenylephrine,DB00388,Common Cold,C0009443,NA,Approved,NA,NA
Phenylephrine,DB00388,Pruritus Ani,C0033775,NA,Approved,NA,NA
Carbimazole,DB00389,Hyperthyroidism,C0020550,NA,Approved,NA,NA
Carbimazole,DB00389,Graves Disease,C0018213,NA,Approved,NA,NA
Digoxin,DB00390,Atrial Fibrillation,C0004238,NA,Approved,NA,NA
Digoxin,DB00390,Poisoning by digitalis glycoside,C0274726,NA,Approved,NA,NA
Digoxin,DB00390,Chronic heart failure,C0264716,NA,Approved,NA,NA
Sulpiride,DB00391,Schizophrenia,C0036341,NA,Approved,NA,NA
