"geneNID"	"geneId"	"geneNmea"	"geneDescription"	"pLI"	"DSI"	"DPI"
"4842"	"6660"	"SOX5"	"SRY-box transcription factor 5"	"0.99995"	"0.545"	"0.769"
"4843"	"6662"	"SOX9"	"SRY-box transcription factor 9"	"0.99772"	"0.419"	"0.846"
"4844"	"6663"	"SOX10"	"SRY-box transcription factor 10"	"0.99166"	"0.461"	"0.808"
"4845"	"6664"	"SOX11"	"SRY-box transcription factor 11"	"0.85844"	"0.494"	"0.808"
"4846"	"6665"	"SOX15"	"SRY-box transcription factor 15"	"0.21474"	"0.7"	"0.346"
"4847"	"6666"	"SOX12"	"SRY-box transcription factor 12"	"0.85589"	"0.682"	"0.385"
"4848"	"6667"	"SP1"	"Sp1 transcription factor"	"0.99997"	"0.493"	"0.769"
"4849"	"6668"	"SP2"	"Sp2 transcription factor"	"0.99721"	"0.931"	"0.115"
"4850"	"6670"	"SP3"	"Sp3 transcription factor"	"0.99995"	"0.705"	"0.5"
"4851"	"6671"	"SP4"	"Sp4 transcription factor"	"0.99288"	"0.711"	"0.423"
"4852"	"6672"	"SP100"	"SP100 nuclear antigen"	"2.7583e-12"	"0.729"	"0.385"
"4853"	"6674"	"SPAG1"	"sperm associated antigen 1"	"1.445e-09"	"0.663"	"0.577"
"4854"	"6675"	"UAP1"	"UDP-N-acetylglucosamine pyrophosphorylase 1"	"0.023389"	"0.89"	"0.154"
"4855"	"6676"	"SPAG4"	"sperm associated antigen 4"	"2.7163e-07"	"0.76"	"0.154"
"4856"	"6677"	"SPAM1"	"sperm adhesion molecule 1"	"1.8621e-10"	"0.691"	"0.5"
"4857"	"6678"	"SPARC"	"secreted protein acidic and cysteine rich"	"0.89148"	"0.445"	"0.846"
"4858"	"6683"	"SPAST"	"spastin"	"0.99939"	"0.579"	"0.577"
"4859"	"6687"	"SPG7"	"SPG7 matrix AAA peptidase subunit, paraplegin"	"1.9683e-36"	"0.436"	"0.885"
"4860"	"6688"	"SPI1"	"Spi-1 proto-oncogene"	"0.98206"	"0.631"	"0.654"
"4861"	"6689"	"SPIB"	"Spi-B transcription factor"	"0.91231"	"0.628"	"0.538"
"4862"	"6690"	"SPINK1"	"serine peptidase inhibitor Kazal type 1"	"0.31476"	"0.492"	"0.808"
"4863"	"6691"	"SPINK2"	"serine peptidase inhibitor Kazal type 2"	"0.069796"	"0.89"	"0.077"
"4864"	"6692"	"SPINT1"	"serine peptidase inhibitor, Kunitz type 1"	"1.0175e-05"	"0.57"	"0.577"
"4865"	"6693"	"SPN"	"sialophorin"	"0.014408"	"0.563"	"0.692"
"4866"	"6694"	"SPP2"	"secreted phosphoprotein 2"	"1.693e-14"	"0.751"	"0.269"
"4867"	"6695"	"SPOCK1"	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"	"0.82592"	"0.61"	"0.577"
"4868"	"6696"	"SPP1"	"secreted phosphoprotein 1"	"2.146e-06"	"0.353"	"0.885"
"4869"	"6697"	"SPR"	"sepiapterin reductase"	"0.0434"	"0.631"	"0.654"
"4870"	"6698"	"SPRR1A"	"small proline rich protein 1A"	"0.0060385"	"0.729"	"0.269"
"4871"	"6699"	"SPRR1B"	"small proline rich protein 1B"	"0.00063211"	"0.821"	"0.269"
"4872"	"6700"	"SPRR2A"	"small proline rich protein 2A"		"0.612"	"0.731"
"4873"	"6701"	"SPRR2B"	"small proline rich protein 2B"		"0.839"	"0.154"
"4874"	"6702"	"SPRR2C"	"small proline rich protein 2C (pseudogene)"		"0.931"	"0.115"
"4875"	"6704"	"SPRR2E"	"small proline rich protein 2E"	"0.060135"	"1"	"0.038"
"4876"	"6705"	"SPRR2F"	"small proline rich protein 2F"	"0.08518"	"1"	"0.038"
"4877"	"6706"	"SPRR2G"	"small proline rich protein 2G"			
"4878"	"6707"	"SPRR3"	"small proline rich protein 3"		"0.736"	"0.269"
"4879"	"6708"	"SPTA1"	"spectrin alpha, erythrocytic 1"	"2.6001e-18"	"0.638"	"0.538"
"4880"	"6709"	"SPTAN1"	"spectrin alpha, non-erythrocytic 1"	"1"	"0.601"	"0.615"
"4881"	"6710"	"SPTB"	"spectrin beta, erythrocytic"	"1"	"0.65"	"0.462"
"4882"	"6711"	"SPTBN1"	"spectrin beta, non-erythrocytic 1"	"1"	"0.619"	"0.538"
"4883"	"6712"	"SPTBN2"	"spectrin beta, non-erythrocytic 2"	"9.9268e-05"	"0.619"	"0.731"
"4884"	"6713"	"SQLE"	"squalene epoxidase"	"0.97594"	"0.674"	"0.577"
"4885"	"6714"	"SRC"	"SRC proto-oncogene, non-receptor tyrosine kinase"	"0.99691"	"0.467"	"0.885"
"4886"	"6715"	"SRD5A1"	"steroid 5 alpha-reductase 1"	"1.1557e-05"	"0.628"	"0.538"
"4887"	"6716"	"SRD5A2"	"steroid 5 alpha-reductase 2"		"0.564"	"0.615"
"4888"	"6717"	"SRI"	"sorcin"	"3.4837e-10"	"0.587"	"0.769"
"4889"	"6718"	"AKR1D1"	"aldo-keto reductase family 1 member D1"	"1.7175e-07"	"0.711"	"0.385"
"4890"	"6720"	"SREBF1"	"sterol regulatory element binding transcription factor 1"	"0.014708"	"0.518"	"0.808"
"4891"	"6721"	"SREBF2"	"sterol regulatory element binding transcription factor 2"	"0.20734"	"0.566"	"0.577"
"4892"	"6722"	"SRF"	"serum response factor"	"0.97545"	"0.534"	"0.808"
"4893"	"6723"	"SRM"	"spermidine synthase"	"0.23479"	"0.666"	"0.577"
"4894"	"6725"	"SRMS"	"src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites"	"1.2721e-12"	"0.805"	"0.154"
"4895"	"6726"	"SRP9"	"signal recognition particle 9"	"0.41934"	"0.89"	"0.192"
"4896"	"6728"	"SRP19"	"signal recognition particle 19"	"0.0069014"	"0.931"	"0.192"
"4897"	"6729"	"SRP54"	"signal recognition particle 54"	"0.99895"	"0.612"	"0.769"
"4898"	"6730"	"SRP68"	"signal recognition particle 68"	"0.045673"	"0.839"	"0.077"
"4899"	"6731"	"SRP72"	"signal recognition particle 72"	"0.0017104"	"0.711"	"0.269"
"4900"	"6732"	"SRPK1"	"SRSF protein kinase 1"	"1.91e-05"	"0.628"	"0.538"
"4901"	"6733"	"SRPK2"	"SRSF protein kinase 2"	"0.99697"	"0.653"	"0.423"
"4902"	"6734"	"SRPRA"	"SRP receptor subunit alpha"	"0.77836"	"0.931"	"0.077"
"4903"	"6736"	"SRY"	"sex determining region Y"		"0.456"	"0.808"
"4904"	"6737"	"TRIM21"	"tripartite motif containing 21"	"3.3549e-09"	"0.485"	"0.808"
"4905"	"6738"	"RO60"	"Ro60, Y RNA binding protein"	"0.58278"	"0.61"	"0.692"
"4906"	"6739"	"SSAV1"	"simian sarcoma-associated virus 1/gibbon ape leukemia virus-related endogenous retroviral element 1"		"0.695"	"0.269"
"4907"	"6741"	"SSB"	"small RNA binding exonuclease protection factor La"	"0.089615"	"0.612"	"0.692"
"4908"	"6742"	"SSBP1"	"single stranded DNA binding protein 1"	"0.0036396"	"0.678"	"0.385"
"4909"	"6744"	"ITPRID2"	"ITPR interacting domain containing 2"	"5.3472e-07"	"0.711"	"0.385"
"4910"	"6745"	"SSR1"	"signal sequence receptor subunit 1"	"0.2706"	"0.711"	"0.269"
"4911"	"6746"	"SSR2"	"signal sequence receptor subunit 2"	"0.21478"	"0.76"	"0.269"
"4912"	"6747"	"SSR3"	"signal sequence receptor subunit 3"	"0.74736"	"1"	"0.077"
"4913"	"6748"	"SSR4"	"signal sequence receptor subunit 4"	"0.87499"	"0.705"	"0.423"
"4914"	"6749"	"SSRP1"	"structure specific recognition protein 1"	"0.99585"	"0.575"	"0.731"
"4915"	"6750"	"SST"	"somatostatin"	"0.34128"	"0.399"	"0.885"
"4916"	"6751"	"SSTR1"	"somatostatin receptor 1"	"0.7473"	"0.606"	"0.615"
"4917"	"6752"	"SSTR2"	"somatostatin receptor 2"	"0.44416"	"0.539"	"0.731"
"4918"	"6753"	"SSTR3"	"somatostatin receptor 3"	"9.9007e-05"	"0.659"	"0.423"
"4919"	"6754"	"SSTR4"	"somatostatin receptor 4"	"3.6978e-13"	"0.469"	"0.846"
"4920"	"6755"	"SSTR5"	"somatostatin receptor 5"	"0.00095544"	"0.59"	"0.615"
"4921"	"6756"	"SSX1"	"SSX family member 1"	"3.6857e-45"	"0.674"	"0.308"
"4922"	"6757"	"SSX2"	"SSX family member 2"		"0.581"	"0.615"
"4923"	"6758"	"SSX5"	"SSX family member 5"	"1.0514e-08"	"0.89"	"0.154"
"4924"	"6759"	"SSX4"	"SSX family member 4"	"0.5203"	"0.751"	"0.308"
"4925"	"6760"	"SS18"	"SS18 subunit of BAF chromatin remodeling complex"	"0.74566"	"0.641"	"0.462"
"4926"	"6761"	"ST2"	"suppression of tumorigenicity 2"		"0.576"	"0.692"
"4927"	"6762"	"ST3"	"suppression of tumorigenicity 3"			
"4928"	"6764"	"DENND2B"	"DENN domain containing 2B"	"0.99996"	"0.931"	"0.154"
"4929"	"6765"	"ST8"	"suppression of tumorigenicity 8 (ovarian)"		"0.78"	"0.269"
"4930"	"6767"	"ST13"	"ST13 Hsp70 interacting protein"	"0.66074"	"0.584"	"0.692"
"4931"	"6768"	"ST14"	"suppression of tumorigenicity 14"	"0.56042"	"0.514"	"0.769"
"4932"	"6769"	"STAC"	"SH3 and cysteine rich domain"	"1.435e-07"	"0.931"	"0.154"
"4933"	"6770"	"STAR"	"steroidogenic acute regulatory protein"	"8.7679e-11"	"0.513"	"0.808"
"4934"	"6772"	"STAT1"	"signal transducer and activator of transcription 1"	"0.99999"	"0.399"	"0.885"
"4935"	"6773"	"STAT2"	"signal transducer and activator of transcription 2"	"0.93065"	"0.569"	"0.615"
"4936"	"6774"	"STAT3"	"signal transducer and activator of transcription 3"	"1"	"0.32"	"0.923"
"4937"	"6775"	"STAT4"	"signal transducer and activator of transcription 4"	"0.7662"	"0.471"	"0.769"
"4938"	"6776"	"STAT5A"	"signal transducer and activator of transcription 5A"	"0.99994"	"0.445"	"0.808"
"4939"	"6777"	"STAT5B"	"signal transducer and activator of transcription 5B"	"0.99988"	"0.442"	"0.808"
"4940"	"6778"	"STAT6"	"signal transducer and activator of transcription 6"	"0.98849"	"0.475"	"0.808"
"4941"	"6779"	"STATH"	"statherin"	"7.9792e-05"	"0.608"	"0.769"
"4942"	"6780"	"STAU1"	"staufen double-stranded RNA binding protein 1"	"0.99976"	"0.729"	"0.423"
"4943"	"6781"	"STC1"	"stanniocalcin 1"	"0.20364"	"0.532"	"0.731"
"4944"	"6782"	"HSPA13"	"heat shock protein family A (Hsp70) member 13"	"0.016897"	"0.821"	"0.192"
"4945"	"6783"	"SULT1E1"	"sulfotransferase family 1E member 1"	"1.9701e-07"	"0.508"	"0.808"
"4946"	"6785"	"ELOVL4"	"ELOVL fatty acid elongase 4"	"0.83227"	"0.601"	"0.577"
"4947"	"6786"	"STIM1"	"stromal interaction molecule 1"	"0.77534"	"0.501"	"0.808"
"4948"	"6787"	"NEK4"	"NIMA related kinase 4"	"8.6883e-27"	"0.751"	"0.192"
"4949"	"6788"	"STK3"	"serine/threonine kinase 3"	"6.2043e-07"	"0.666"	"0.5"
"4950"	"6789"	"STK4"	"serine/threonine kinase 4"	"0.014598"	"0.638"	"0.462"
"4951"	"6790"	"AURKA"	"aurora kinase A"	"0.8676"	"0.475"	"0.731"
"4952"	"6792"	"CDKL5"	"cyclin dependent kinase like 5"	"0.99932"	"0.522"	"0.692"
"4953"	"6793"	"STK10"	"serine/threonine kinase 10"	"1.2774e-14"	"0.792"	"0.346"
"4954"	"6794"	"STK11"	"serine/threonine kinase 11"	"0.9934"	"0.435"	"0.808"
"4955"	"6795"	"AURKC"	"aurora kinase C"	"0.077907"	"0.736"	"0.308"
"4956"	"6799"	"SULT1A2"	"sulfotransferase family 1A member 2"	"3.6786e-12"	"0.89"	"0.115"
"4957"	"6801"	"STRN"	"striatin"	"0.66061"	"0.705"	"0.385"
"4958"	"6804"	"STX1A"	"syntaxin 1A"	"0.9785"	"0.621"	"0.654"
"4959"	"6809"	"STX3"	"syntaxin 3"	"0.041297"	"0.769"	"0.423"
"4960"	"6810"	"STX4"	"syntaxin 4"	"1.3021e-07"	"0.839"	"0.346"
"4961"	"6811"	"STX5"	"syntaxin 5"	"0.84297"	"0.821"	"0.308"
"4962"	"6812"	"STXBP1"	"syntaxin binding protein 1"	"1"	"0.532"	"0.692"
"4963"	"6813"	"STXBP2"	"syntaxin binding protein 2"	"3.0444e-08"	"0.686"	"0.5"
"4964"	"6814"	"STXBP3"	"syntaxin binding protein 3"	"5.1597e-05"	"0.61"	"0.769"
"4965"	"6815"	"STYX"	"serine/threonine/tyrosine interacting protein"	"0.37747"	"0.839"	"0.154"
"4966"	"6817"	"SULT1A1"	"sulfotransferase family 1A member 1"	"3.039e-11"	"0.554"	"0.769"
"4967"	"6818"	"SULT1A3"	"sulfotransferase family 1A member 3"	"0.36251"	"0.722"	"0.5"
"4968"	"6819"	"SULT1C2"	"sulfotransferase family 1C member 2"	"2.646e-10"	"0.821"	"0.154"
"4969"	"6820"	"SULT2B1"	"sulfotransferase family 2B member 1"	"0.43553"	"0.641"	"0.538"
"4970"	"6821"	"SUOX"	"sulfite oxidase"	"9.399e-07"	"0.638"	"0.615"
"4971"	"6822"	"SULT2A1"	"sulfotransferase family 2A member 1"	"1.2523e-15"	"0.545"	"0.769"
"4972"	"6824"	"ETF1P1"	"eukaryotic translation termination factor 1 pseudogene 1"		"1"	"0.115"
"4973"	"6825"	"ETF1P2"	"eukaryotic translation termination factor 1 pseudogene 2"		"1"	"0.077"
"4974"	"6827"	"SUPT4H1"	"SPT4 homolog, DSIF elongation factor subunit"	"0.0008774"	"0.839"	"0.231"
"4975"	"6829"	"SUPT5H"	"SPT5 homolog, DSIF elongation factor subunit"	"1"		
"4976"	"6832"	"SUPV3L1"	"Suv3 like RNA helicase"	"0.032006"	"0.821"	"0.115"
"4977"	"6833"	"ABCC8"	"ATP binding cassette subfamily C member 8"	"7.9571e-24"	"0.474"	"0.846"
"4978"	"6834"	"SURF1"	"SURF1 cytochrome c oxidase assembly factor"	"1.5883e-13"	"0.578"	"0.654"
"4979"	"6835"	"SURF2"	"surfeit 2"	"6.9279e-06"		
"4980"	"6836"	"SURF4"	"surfeit 4"	"0.60564"	"0.931"	"0.154"
"4981"	"6837"	"MED22"	"mediator complex subunit 22"	"8.0393e-05"		
"4982"	"6838"	"SURF6"	"surfeit 6"	"6.449e-07"	"0.931"	"0.115"
"4983"	"6839"	"SUV39H1"	"suppressor of variegation 3-9 homolog 1"	"0.98957"	"0.595"	"0.577"
"4984"	"6840"	"SVIL"	"supervillin"	"0.00086302"	"0.805"	"0.231"
"4985"	"6843"	"VAMP1"	"vesicle associated membrane protein 1"	"0.0039396"	"0.628"	"0.538"
"4986"	"6844"	"VAMP2"	"vesicle associated membrane protein 2"	"0.88736"	"0.65"	"0.462"
"4987"	"6845"	"VAMP7"	"vesicle associated membrane protein 7"	"0.013777"	"0.612"	"0.577"
"4988"	"6846"	"XCL2"	"X-C motif chemokine ligand 2"	"0.0090664"	"0.821"	"0.192"
"4989"	"6847"	"SYCP1"	"synaptonemal complex protein 1"	"0.99997"	"0.67"	"0.577"
"4990"	"6850"	"SYK"	"spleen associated tyrosine kinase"	"0.99986"	"0.475"	"0.808"
"4991"	"6853"	"SYN1"	"synapsin I"	"0.99216"	"0.597"	"0.462"
"4992"	"6854"	"SYN2"	"synapsin II"		"0.653"	"0.577"
"4993"	"6855"	"SYP"	"synaptophysin"	"0.91549"	"0.481"	"0.808"
"4994"	"6856"	"SYPL1"	"synaptophysin like 1"	"0.046723"	"0.931"	"0.115"
"4995"	"6857"	"SYT1"	"synaptotagmin 1"	"0.60038"	"0.412"	"0.846"
"4996"	"6860"	"SYT4"	"synaptotagmin 4"	"0.43924"	"0.861"	"0.192"
"4997"	"6861"	"SYT5"	"synaptotagmin 5"	"0.001902"	"1"	"0.038"
"4998"	"6862"	"TBXT"	"T-box transcription factor T"	"0.024262"	"0.674"	"0.462"
"4999"	"6863"	"TAC1"	"tachykinin precursor 1"	"0.74608"	"0.424"	"0.923"
"5000"	"6865"	"TACR2"	"tachykinin receptor 2"	"8.8349e-05"	"0.7"	"0.5"
"5001"	"6866"	"TAC3"	"tachykinin precursor 3"	"0.01165"	"0.604"	"0.731"
"5002"	"6867"	"TACC1"	"transforming acidic coiled-coil containing protein 1"	"5.4901e-05"	"0.769"	"0.192"
"5003"	"6868"	"ADAM17"	"ADAM metallopeptidase domain 17"	"0.99528"	"0.453"	"0.808"
"5004"	"6869"	"TACR1"	"tachykinin receptor 1"	"0.00038437"	"0.502"	"0.885"
"5005"	"6870"	"TACR3"	"tachykinin receptor 3"	"1.8068e-17"	"0.553"	"0.769"
"5006"	"6871"	"TADA2A"	"transcriptional adaptor 2A"	"9.2222e-09"	"0.729"	"0.538"
"5007"	"6872"	"TAF1"	"TATA-box binding protein associated factor 1"	"1"	"0.581"	"0.808"
"5008"	"6873"	"TAF2"	"TATA-box binding protein associated factor 2"	"0.0025958"	"0.743"	"0.308"
"5009"	"6874"	"TAF4"	"TATA-box binding protein associated factor 4"	"1"	"0.839"	"0.231"
"5010"	"6875"	"TAF4B"	"TATA-box binding protein associated factor 4b"	"0.23446"	"0.792"	"0.192"
"5011"	"6876"	"TAGLN"	"transgelin"	"0.08527"	"0.54"	"0.692"
"5012"	"6877"	"TAF5"	"TATA-box binding protein associated factor 5"	"0.99973"		
"5013"	"6878"	"TAF6"	"TATA-box binding protein associated factor 6"	"8.2703e-09"	"0.769"	"0.308"
"5014"	"6879"	"TAF7"	"TATA-box binding protein associated factor 7"	"0.89371"	"0.931"	"0.077"
"5015"	"6880"	"TAF9"	"TATA-box binding protein associated factor 9"	"4.2231e-07"	"0.89"	"0.231"
"5016"	"6881"	"TAF10"	"TATA-box binding protein associated factor 10"	"0.88076"		
"5017"	"6882"	"TAF11"	"TATA-box binding protein associated factor 11"	"0.11202"		
"5018"	"6883"	"TAF12"	"TATA-box binding protein associated factor 12"	"0.95008"	"0.769"	"0.154"
"5019"	"6884"	"TAF13"	"TATA-box binding protein associated factor 13"	"0.015944"	"0.716"	"0.385"
"5020"	"6885"	"MAP3K7"	"mitogen-activated protein kinase kinase kinase 7"	"0.99971"	"0.477"	"0.808"
"5021"	"6886"	"TAL1"	"TAL bHLH transcription factor 1, erythroid differentiation factor"	"0.5659"	"0.505"	"0.731"
"5022"	"6887"	"TAL2"	"TAL bHLH transcription factor 2"	"0.47392"	"0.839"	"0.115"
"5023"	"6888"	"TALDO1"	"transaldolase 1"	"2.5234e-06"	"0.608"	"0.654"
"5024"	"6889"	"TALDO1P1"	"transaldolase 1 pseudogene 1"		"1"	"0.077"
"5025"	"6890"	"TAP1"	"transporter 1, ATP binding cassette subfamily B member"	"5.3431e-06"	"0.5"	"0.808"
"5026"	"6891"	"TAP2"	"transporter 2, ATP binding cassette subfamily B member"	"6.8911e-11"	"0.517"	"0.808"
"5027"	"6892"	"TAPBP"	"TAP binding protein"	"6.6044e-09"	"0.576"	"0.769"
"5028"	"6893"	"TAPVR1"	"total anomalous pulmonary venous return 1"			
"5029"	"6894"	"TARBP1"	"TAR (HIV-1) RNA binding protein 1"	"1.3937e-23"	"0.821"	"0.308"
"5030"	"6895"	"TARBP2"	"TARBP2 subunit of RISC loading complex"	"0.46644"	"0.65"	"0.5"
"5031"	"6896"	"TARBP2P1"	"TARBP2 pseudogene 1"		"0.839"	"0.154"
"5032"	"6897"	"TARS1"	"threonyl-tRNA synthetase 1"	"9.9483e-13"	"0.716"	"0.423"
"5033"	"6898"	"TAT"	"tyrosine aminotransferase"	"0.0068998"	"0.492"	"0.846"
"5034"	"6899"	"TBX1"	"T-box transcription factor 1"	"0.83661"	"0.433"	"0.808"
"5035"	"6900"	"CNTN2"	"contactin 2"	"0.0021095"	"0.581"	"0.692"
"5036"	"6901"	"TAZ"	"tafazzin"	"0.72591"	"0.477"	"0.808"
"5037"	"6902"	"TBCA"	"tubulin folding cofactor A"	"0.16004"	"0.682"	"0.538"
"5038"	"6903"	"TBCC"	"tubulin folding cofactor C"	"3.7118e-06"	"0.792"	"0.269"
"5039"	"6904"	"TBCD"	"tubulin folding cofactor D"	"1.0032e-07"	"0.599"	"0.615"
"5040"	"6905"	"TBCE"	"tubulin folding cofactor E"	"1.7455e-08"	"0.575"	"0.692"
"5041"	"6906"	"SERPINA7"	"serpin family A member 7"	"0.0026137"	"0.641"	"0.615"
"5042"	"6907"	"TBL1X"	"transducin beta like 1 X-linked"	"0.97946"	"0.674"	"0.538"
"5043"	"6908"	"TBP"	"TATA-box binding protein"	"0.015031"	"0.552"	"0.846"
"5044"	"6909"	"TBX2"	"T-box transcription factor 2"	"0.99329"	"0.544"	"0.769"
"5045"	"6910"	"TBX5"	"T-box transcription factor 5"	"0.99954"	"0.528"	"0.769"
"5046"	"6911"	"TBX6"	"T-box transcription factor 6"	"0.0068128"	"0.659"	"0.385"
"5047"	"6913"	"TBX15"	"T-box transcription factor 15"	"0.65773"	"0.603"	"0.5"
"5048"	"6915"	"TBXA2R"	"thromboxane A2 receptor"	"0.00012823"	"0.597"	"0.654"
"5049"	"6916"	"TBXAS1"	"thromboxane A synthase 1"	"1.4088e-20"	"0.619"	"0.615"
"5050"	"6917"	"TCEA1"	"transcription elongation factor A1"	"0.89541"	"0.695"	"0.615"
"5051"	"6919"	"TCEA2"	"transcription elongation factor A2"	"0.00056849"	"0.805"	"0.154"
"5052"	"6920"	"TCEA3"	"transcription elongation factor A3"	"0.0045078"	"0.861"	"0.154"
"5053"	"6921"	"ELOC"	"elongin C"	"0.74421"	"0.656"	"0.5"
"5054"	"6922"	"SKP1P1"	"S-phase kinase associated protein 1 pseudogene 1"			
"5055"	"6923"	"ELOB"	"elongin B"	"0.091842"	"0.736"	"0.462"
"5056"	"6924"	"ELOA"	"elongin A"	"1"	"0.769"	"0.423"
"5057"	"6925"	"TCF4"	"transcription factor 4"	"0.99981"	"0.464"	"0.846"
"5058"	"6926"	"TBX3"	"T-box transcription factor 3"	"0.98907"	"0.525"	"0.769"
"5059"	"6927"	"HNF1A"	"HNF1 homeobox A"	"0.96115"	"0.478"	"0.846"
"5060"	"6928"	"HNF1B"	"HNF1 homeobox B"	"0.99976"	"0.473"	"0.808"
"5061"	"6929"	"TCF3"	"transcription factor 3"	"0.025824"	"0.476"	"0.846"
"5062"	"6932"	"TCF7"	"transcription factor 7"	"0.0053732"	"0.556"	"0.654"
"5063"	"6934"	"TCF7L2"	"transcription factor 7 like 2"	"0.99537"	"0.485"	"0.846"
"5064"	"6935"	"ZEB1"	"zinc finger E-box binding homeobox 1"	"0.96665"	"0.442"	"0.808"
"5065"	"6936"	"GCFC2"	"GC-rich sequence DNA-binding factor 2"	"2.5566e-24"	"0.722"	"0.462"
"5066"	"6938"	"TCF12"	"transcription factor 12"	"0.67602"	"0.565"	"0.654"
"5067"	"6939"	"TCF15"	"transcription factor 15"	"0.51981"	"0.839"	"0.154"
"5068"	"6940"	"ZNF354A"	"zinc finger protein 354A"	"5.6407e-06"	"0.792"	"0.192"
"5069"	"6941"	"TCF19"	"transcription factor 19"	"0.00093832"	"0.674"	"0.692"
"5070"	"6942"	"TCF20"	"transcription factor 20"	"1"	"0.644"	"0.423"
"5071"	"6943"	"TCF21"	"transcription factor 21"	"0.82553"	"0.537"	"0.692"
"5072"	"6944"	"VPS72"	"vacuolar protein sorting 72 homolog"	"0.00020208"	"0.931"	"0.077"
"5073"	"6945"	"MLX"	"MAX dimerization protein MLX"	"0.11032"	"0.722"	"0.346"
"5074"	"6946"	"TCL4"	"T cell leukemia/lymphoma 4"		"1"	"0.115"
"5075"	"6947"	"TCN1"	"transcobalamin 1"	"2.3229e-17"	"0.641"	"0.577"
"5076"	"6948"	"TCN2"	"transcobalamin 2"	"1.0478e-06"	"0.578"	"0.615"
"5077"	"6949"	"TCOF1"	"treacle ribosome biogenesis factor 1"	"0.9541"	"0.55"	"0.808"
"5078"	"6950"	"TCP1"	"t-complex 1"	"0.99527"	"0.619"	"0.654"
"5079"	"6954"	"TCP11"	"t-complex 11"	"1.0587e-07"	"1"	"0.077"
"5080"	"6955"	"TRA"	"T cell receptor alpha locus"		"0.628"	"0.577"
"5081"	"6956"	"TRAV6"	"T cell receptor alpha variable 6"		"1"	"0.115"
"5082"	"6957"	"TRB"	"T cell receptor beta locus"		"0.636"	"0.538"
"5083"	"6962"	"TRBV20OR9-2"	"T cell receptor beta variable 20/OR9-2 (non-functional)"		"0.403"	"0.923"
"5084"	"6964"	"TRD"	"T cell receptor delta locus"		"0.65"	"0.692"
"5085"	"6965"	"TRG"	"T cell receptor gamma locus"		"0.631"	"0.538"
"5086"	"6966"	"TRGC1"	"T cell receptor gamma constant 1"		"0.663"	"0.385"
"5087"	"6969"	"TRGJ2"	"T cell receptor gamma joining 2"			
"5088"	"6973"	"TRGV1"	"T cell receptor gamma variable 1 (non-functional)"		"1"	"0.115"
"5089"	"6974"	"TRGV2"	"T cell receptor gamma variable 2"		"1"	"0.115"
"5090"	"6978"	"TRGV5"	"T cell receptor gamma variable 5"		"1"	"0.038"
"5091"	"6980"	"TRGV6"	"T cell receptor gamma variable 6 (pseudogene)"		"1"	"0.038"
"5092"	"6981"	"TRGV7"	"T cell receptor gamma variable 7 (pseudogene)"		"1"	"0.038"
"5093"	"6983"	"TRGV9"	"T cell receptor gamma variable 9"		"1"	"0.038"
"5094"	"6985"	"TRGV11"	"T cell receptor gamma variable 11 (non-functional)"		"1"	"0.038"
"5095"	"6986"	"TRGVA"	"T cell receptor gamma variable A (pseudogene)"		"1"	"0.038"
"5096"	"6987"	"TRGVB"	"T cell receptor gamma variable B (pseudogene)"		"0.931"	"0.077"
"5097"	"6988"	"TCTA"	"T cell leukemia translocation altered"	"0.00046337"	"0.861"	"0.231"
"5098"	"6990"	"DYNLT3"	"dynein light chain Tctex-type 3"	"0.71894"	"0.769"	"0.269"
"5099"	"6991"	"TCTE3"	"t-complex-associated-testis-expressed 3"	"2.278e-09"	"0.861"	"0.231"
"5100"	"6992"	"PPP1R11"	"protein phosphatase 1 regulatory inhibitor subunit 11"	"0.35781"	"0.604"	"0.731"
"5101"	"6993"	"DYNLT1"	"dynein light chain Tctex-type 1"	"7.3232e-05"	"0.931"	"0.077"
"5102"	"6996"	"TDG"	"thymine DNA glycosylase"	"0.00056268"	"0.674"	"0.385"
"5103"	"6997"	"TDGF1"	"teratocarcinoma-derived growth factor 1"	"9.1591e-11"	"0.584"	"0.731"
"5104"	"6998"	"TDGF1P3"	"teratocarcinoma-derived growth factor 1 pseudogene 3"		"0.631"	"0.5"
"5105"	"6999"	"TDO2"	"tryptophan 2,3-dioxygenase"	"2.0378e-10"	"0.599"	"0.654"
"5106"	"7001"	"PRDX2"	"peroxiredoxin 2"	"0.086513"	"0.474"	"0.885"
"5107"	"7003"	"TEAD1"	"TEA domain transcription factor 1"	"0.9998"	"0.555"	"0.731"
"5108"	"7004"	"TEAD4"	"TEA domain transcription factor 4"	"3.233e-05"	"0.636"	"0.5"
"5109"	"7005"	"TEAD3"	"TEA domain transcription factor 3"	"0.99362"		
"5110"	"7006"	"TEC"	"tec protein tyrosine kinase"		"1"	"0.115"
"5111"	"7007"	"TECTA"	"tectorin alpha"	"2.9863e-16"	"0.7"	"0.385"
"5112"	"7008"	"TEF"	"TEF transcription factor, PAR bZIP family member"	"0.63291"	"0.686"	"0.538"
"5113"	"7009"	"TMBIM6"	"transmembrane BAX inhibitor motif containing 6"	"0.015024"	"0.653"	"0.577"
"5114"	"7010"	"TEK"	"TEK receptor tyrosine kinase"	"1"	"0.462"	"0.692"
