"diseaseNID"	"diseaseId"	"diseaseName"	"type"
"9117"	"C0398677"	"Ocular sarcoidosis"	"disease"
"9118"	"C0398680"	"Sarcoid myopathy"	"disease"
"9119"	"C0398686"	"Primary immune deficiency disorder"	"group"
"9120"	"C0398689"	"Hyper-IgM Immunodeficiency Syndrome, Type 1"	"disease"
"9121"	"C0398691"	"Hyperimmunoglobulinemia D"	"disease"
"9122"	"C0398701"	"Immunoglobulin G2 deficiency"	"disease"
"9123"	"C0398703"	"Immunoglobulin G3 deficiency"	"disease"
"9124"	"C0398704"	"Immunoglobulin G4 deficiency"	"disease"
"9125"	"C0398707"	"Immunoglobulin A2 deficiency"	"disease"
"9126"	"C0398709"	"Secretory Component Deficiency"	"disease"
"9127"	"C0398712"	"Anti-polysaccharide antibody deficiency"	"disease"
"9128"	"C0398738"	"Leukocyte adhesion deficiency type 1"	"disease"
"9129"	"C0398739"	"Congenital disorder of glycosylation, type 2C"	"disease"
"9130"	"C0398746"	"Gluthathione synthetase deficiency"	"disease"
"9131"	"C0398747"	"Gluthathione peroxidase deficiency"	"disease"
"9132"	"C0398762"	"Properdin deficiency disease"	"disease"
"9133"	"C0398764"	"Complement Factor D Deficiency"	"disease"
"9134"	"C0398775"	"Hereditary C1 esterase inhibitor deficiency - deficient factor"	"disease"
"9135"	"C0398776"	"Hereditary C1 esterase inhibitor deficiency - dysfunctional factor"	"disease"
"9136"	"C0398777"	"Complement Factor H Deficiency"	"disease"
"9137"	"C0398782"	"Carboxypeptidase N Deficiency"	"disease"
"9138"	"C0398788"	"Immunodeficiency syndrome, variable"	"disease"
"9139"	"C0398791"	"Nijmegen Breakage Syndrome"	"disease"
"9140"	"C0398794"	"Hypopigmentation-immunodeficiency disease"	"disease"
"9141"	"C0398795"	"Secondary immune deficiency disorder"	"group"
"9142"	"C0399352"	"Developmental absence of tooth"	"disease"
"9143"	"C0399356"	"Supernumerary cusp"	"disease"
"9144"	"C0399357"	"Talon cusp"	"disease"
"9145"	"C0399367"	"Amelogenesis imperfecta local hypoplastic form"	"disease"
"9146"	"C0399368"	"Amelogenesis Imperfecta, Type IB"	"disease"
"9147"	"C0399372"	"Amelogenesis Imperfecta hypomaturation type"	"disease"
"9148"	"C0399373"	"Amelogenesis imperfecta, hypomaturation hypoplasia type with taurodontism"	"disease"
"9149"	"C0399376"	"Amelogenesis Imperfecta, Type III"	"disease"
"9150"	"C0399378"	"Dentinogenesis imperfecta - Shield's type III (disorder)"	"disease"
"9151"	"C0399379"	"Dentin dysplasia, type 1"	"disease"
"9152"	"C0399380"	"Dentin dyspalsia, Shields type 2"	"disease"
"9153"	"C0399405"	"Reversible pulpitis"	"disease"
"9154"	"C0399406"	"Irreversible pulpitis"	"disease"
"9155"	"C0399440"	"Hereditary gingival fibromatosis"	"disease"
"9156"	"C0399447"	"Early onset periodontitis"	"disease"
"9157"	"C0399451"	"Subgingival plaque"	"disease"
"9158"	"C0399452"	"Supragingival dental plaque"	"disease"
"9159"	"C0399474"	"Dysplastic oral leukoplakia"	"disease"
"9160"	"C0399495"	"Inflammatory fibrous hyperplasia of mouth"	"disease"
"9161"	"C0399496"	"Granulomatosis, Orofacial"	"disease"
"9162"	"C0399523"	"Class I malocclusion"	"disease"
"9163"	"C0399526"	"Class III malocclusion"	"disease"
"9164"	"C0399545"	"Anterior Diastema of Teeth"	"phenotype"
"9165"	"C0399553"	"Mandibular deviation"	"phenotype"
"9166"	"C0399558"	"Glandular odontogenic cyst"	"disease"
"9167"	"C0399570"	"Mandibular condyle aplasia"	"phenotype"
"9168"	"C0399572"	"Hypoplasia of mandibular condyle"	"phenotype"
"9169"	"C0399605"	"Commissural lip pit"	"phenotype"
"9170"	"C0400807"	"Stress ulcer of stomach"	"disease"
"9171"	"C0400821"	"Colitis, Microscopic"	"disease"
"9172"	"C0400822"	"Colitis, Lymphocytic"	"disease"
"9173"	"C0400823"	"Neutropenic colitis"	"disease"
"9174"	"C0400837"	"Simple diverticular disease of large intestine"	"disease"
"9175"	"C0400847"	"Ileal Stenosis"	"disease"
"9176"	"C0400875"	"Hollow visceral neuropathy"	"disease"
"9177"	"C0400877"	"Postoperative ileus"	"disease"
"9178"	"C0400914"	"Acute hepatitis C"	"disease"
"9179"	"C0400923"	"Vascular disorder of liver"	"group"
"9180"	"C0400936"	"Autoimmune liver disease"	"disease"
"9181"	"C0400943"	"Cirrhosis - non-alcoholic"	"disease"
"9182"	"C0400966"	"Non-alcoholic Fatty Liver Disease"	"disease"
"9183"	"C0400973"	"Synthetic defect of bile acids"	"disease"
"9184"	"C0400978"	"Secondary sclerosing cholangitis"	"disease"
"9185"	"C0400979"	"Obstruction of biliary tree"	"disease"
"9186"	"C0400990"	"Cyst of biliary tract"	"disease"
"9187"	"C0401013"	"Fungal peritonitis"	"disease"
"9188"	"C0401067"	"Unilateral inguinal hernia NOS"	"disease"
"9189"	"C0401146"	"Constipation - functional"	"disease"
"9190"	"C0401149"	"Chronic constipation"	"phenotype"
"9191"	"C0401151"	"Chronic diarrhea"	"disease"
"9192"	"C0403367"	"proliferative nephritis unspecified"	"disease"
"9193"	"C0403379"	"Emphysematous pyelonephritis"	"disease"
"9194"	"C0403396"	"Steroid-sensitive nephrotic syndrome"	"disease"
"9195"	"C0403397"	"Steroid-resistant nephrotic syndrome"	"disease"
"9196"	"C0403398"	"Steroid-dependent nephrotic syndrome"	"disease"
"9197"	"C0403399"	"Finnish congenital nephrotic syndrome"	"disease"
"9198"	"C0403411"	"Endocapillary glomerulonephritis"	"disease"
"9199"	"C0403414"	"Acute post-streptococcal glomerulonephritis"	"disease"
"9200"	"C0403416"	"Idiopathic crescentic glomerulonephritis"	"disease"
"9201"	"C0403428"	"Chronic mesangial proliferative glomerulonephritis"	"disease"
"9202"	"C0403433"	"IgM nephropathy"	"disease"
"9203"	"C0403440"	"Thin basement membrane disease"	"disease"
"9204"	"C0403443"	"Renal Failure, Progressive, with Hypertension"	"disease"
"9205"	"C0403445"	"Fechtner syndrome (disorder)"	"disease"
"9206"	"C0403447"	"Chronic Kidney Insufficiency"	"disease"
"9207"	"C0403477"	"Medullary nephrocalcinosis"	"disease"
"9208"	"C0403502"	"Low renal threshold for glucose"	"phenotype"
"9209"	"C0403518"	"Microalbuminuric diabetic nephropathy"	"disease"
"9210"	"C0403519"	"Proteinuric diabetic nephropathy"	"disease"
"9211"	"C0403528"	"Henoch-Schönlein nephritis"	"disease"
"9212"	"C0403529"	"Anti-Glomerular Basement Membrane Disease"	"disease"
"9213"	"C0403548"	"Salcedo syndrome"	"disease"
"9214"	"C0403553"	"Renal dysplasia and retinal aplasia (disorder)"	"disease"
"9215"	"C0403554"	"Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness"	"disease"
"9216"	"C0403555"	"Ochoa syndrome"	"disease"
"9217"	"C0403559"	"Dialysis disequilibrium syndrome"	"disease"
"9218"	"C0403566"	"Adynamic bone disease"	"disease"
"9219"	"C0403592"	"Chronic rejection of renal transplant"	"disease"
"9220"	"C0403601"	"Transplant glomerulopathy"	"disease"
"9221"	"C0403622"	"Primary vesicoureteric reflux"	"disease"
"9222"	"C0403639"	"Chemical cystitis"	"disease"
"9223"	"C0403647"	"Hypotonic bladder disorder"	"phenotype"
"9224"	"C0403654"	"Bladder outflow obstruction"	"disease"
"9225"	"C0403670"	"Urinary incontinence of non-organic origin"	"phenotype"
"9226"	"C0403673"	"Retrograde ejaculation"	"phenotype"
"9227"	"C0403683"	"Non-bacterial prostatitis"	"disease"
"9228"	"C0403693"	"Male accessory gland infection"	"disease"
"9229"	"C0403719"	"Uric acid urolithiasis"	"disease"
"9230"	"C0403720"	"X-linked recessive nephrolithiasis with renal failure"	"disease"
"9231"	"C0403766"	"Acquired phimosis"	"disease"
"9232"	"C0403800"	"Secondary male infertility"	"disease"
"9233"	"C0403809"	"Primary spermatogenic failure"	"disease"
"9234"	"C0403810"	"Oligosynaptic Infertility"	"disease"
"9235"	"C0403812"	"Male Infertility with Large-Headed, Multiflagellar, Polyploid Spermatozoa"	"disease"
"9236"	"C0403813"	"Congenital obstructive azoospermia"	"disease"
"9237"	"C0403814"	"Congenital bilateral aplasia of vas deferens"	"disease"
"9238"	"C0403819"	"Acquired obstructive azoospermia"	"disease"
"9239"	"C0403823"	"Asthenozoospermia"	"disease"
"9240"	"C0403824"	"Teratozoospermia"	"disease"
"9241"	"C0403825"	"Globozoospermia"	"phenotype"
"9242"	"C0404445"	"Acquired atrophy of ovary"	"disease"
"9243"	"C0404484"	"Chronic pelvic pain of female"	"phenotype"
"9244"	"C0404521"	"Infective vaginitis"	"disease"
"9245"	"C0404531"	"Hypertrophy of labia"	"phenotype"
"9246"	"C0404562"	"Incipient ovarian failure"	"disease"
"9247"	"C0404572"	"Female infertility associated with anovulation"	"disease"
"9248"	"C0404852"	"Vanishing twin syndrome"	"disease"
"9249"	"C0405124"	"Nuchal Cord"	"phenotype"
"9250"	"C0405469"	"Granulomatous Mastitis"	"disease"
"9251"	"C0405578"	"Gigantism and acromegaly"	"disease"
"9252"	"C0405580"	"Adrenal cortical hypofunction"	"disease"
"9253"	"C0405581"	"Testicular dysfunction"	"disease"
"9254"	"C0405584"	"Sucrose intolerance"	"phenotype"
"9255"	"C0406097"	"Streptococcal impetigo"	"disease"
"9256"	"C0406161"	"Seed corn"	"phenotype"
"9257"	"C0406191"	"Pseudofolliculitis"	"disease"
"9258"	"C0406208"	"Suntan"	"phenotype"
"9259"	"C0406217"	"Actinic prurigo"	"disease"
"9260"	"C0406299"	"Chronic prurigo"	"disease"
"9261"	"C0406305"	"Eosinophilic pustular folliculitis"	"disease"
"9262"	"C0406317"	"Chronic small plaque psoriasis"	"disease"
"9263"	"C0406322"	"Psoriasis of nail"	"disease"
"9264"	"C0406326"	"Scalp psoriasis"	"disease"
"9265"	"C0406344"	"Follicular ichthyosis"	"disease"
"9266"	"C0406347"	"Disseminated superficial porokeratosis"	"disease"
"9267"	"C0406352"	"Acanthosis palmaris"	"disease"
"9268"	"C0406366"	"Post-inflammatory hyperpigmentation in lichen planus"	"disease"
"9269"	"C0406369"	"Lichen planus pemphigoides"	"disease"
"9270"	"C0406374"	"Lichen planus of nail"	"disease"
"9271"	"C0406378"	"Erosive oral lichen planus"	"disease"
"9272"	"C0406383"	"Genital lichen planus"	"disease"
"9273"	"C0406409"	"Aquagenic pruritus"	"phenotype"
"9274"	"C0406425"	"Laugier-Hunziker syndrome"	"disease"
"9275"	"C0406438"	"Pterygium of nail"	"disease"
"9276"	"C0406457"	"Non-scarring alopecia"	"disease"
"9277"	"C0406458"	"Diffuse alopecia"	"disease"
"9278"	"C0406468"	"Loose Anagen Hair Syndrome"	"disease"
"9279"	"C0406481"	"Comedonal acne"	"disease"
"9280"	"C0406482"	"Nodulocystic acne"	"disease"
"9281"	"C0406484"	"Sebaceous hyperplasia"	"disease"
"9282"	"C0406486"	"Ocular Rosacea"	"disease"
"9283"	"C0406500"	"Lipodermatosclerosis"	"disease"
"9284"	"C0406502"	"Hereditary benign telangiectasia (disorder)"	"disease"
"9285"	"C0406537"	"Morbilliform Drug Reaction"	"disease"
"9286"	"C0406549"	"Cutis laxa, acquired type"	"disease"
"9287"	"C0406557"	"Poikiloderma of Kindler"	"disease"
"9288"	"C0406563"	"Follicular atrophoderma"	"disease"
"9289"	"C0406571"	"Superficial fibromatosis"	"disease"
"9290"	"C0406584"	"Acrogeria, gottron type"	"disease"
"9291"	"C0406585"	"Lethal tight skin contracture syndrome (disorder)"	"disease"
"9292"	"C0406586"	"Wiedemann-Rautenstrauch syndrome"	"disease"
"9293"	"C0406587"	"Wrinkly skin syndrome"	"disease"
"9294"	"C0406607"	"Insulin lipoatrophy"	"disease"
"9295"	"C0406612"	"Encephalocraniocutaneous lipomatosis"	"disease"
"9296"	"C0406632"	"Autoimmune skin disease"	"disease"
"9297"	"C0406637"	"Erythema multiforme-like lupus erythematosus"	"disease"
"9298"	"C0406641"	"Genital lichen sclerosus"	"disease"
"9299"	"C0406645"	"Amyopathic dermatomyositis"	"disease"
"9300"	"C0406650"	"Linear IgA Bullous Dermatosis"	"disease"
"9301"	"C0406653"	"Eosinophilic spongiosis"	"disease"
"9302"	"C0406659"	"Cutaneous focal mucinosis"	"disease"
"9303"	"C0406670"	"Vulvodynia"	"disease"
"9304"	"C0406690"	"Eczematous drug eruption"	"disease"
"9305"	"C0406702"	"Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive"	"disease"
"9306"	"C0406704"	"Rudiger syndrome 1"	"disease"
"9307"	"C0406707"	"Basan syndrome"	"disease"
"9308"	"C0406709"	"Hay-Wells syndrome"	"disease"
"9309"	"C0406716"	"Hypodontia and nail dysgenesis"	"disease"
"9310"	"C0406723"	"Growth retardation, Alopecia, Pseudoanodontia and Optic atrophy"	"disease"
"9311"	"C0406726"	"Orofaciodigital syndrome 3"	"disease"
"9312"	"C0406727"	"Orofaciodigital syndrome 4"	"disease"
"9313"	"C0406733"	"Curly hair-ankyloblepharon-nail dysplasia syndrome"	"disease"
"9314"	"C0406735"	"Hypoplastic enamel-onycholysis-hypohidrosis syndrome"	"disease"
"9315"	"C0406740"	"Kohlschutter Tonz syndrome"	"disease"
"9316"	"C0406756"	"Keratolytic winter erythema"	"disease"
"9317"	"C0406757"	"Hereditary palmoplantar keratoderma"	"disease"
"9318"	"C0406767"	"Keratoderma with scleroatrophy of the extremities"	"disease"
"9319"	"C0406775"	"Symmetrical dyschromatosis of extremities"	"disease"
"9320"	"C0406778"	"Dermatopathia pigmentosa reticularis"	"disease"
"9321"	"C0406803"	"Syringocystadenoma Papilliferum"	"disease"
"9322"	"C0406810"	"Carney Complex"	"disease"
"9323"	"C0406811"	"Reticulate acropigmentation of Kitamura"	"disease"
"9324"	"C0406814"	"Labial lentigo"	"phenotype"
"9325"	"C0406821"	"Rhabdomyomatous mesenchymal hamartoma"	"disease"
"9326"	"C0409208"	"Arthritis of hand"	"disease"
"9327"	"C0409210"	"Arthritis of wrist"	"disease"
"9328"	"C0409224"	"Ochronotic arthropathy"	"disease"
"9329"	"C0409305"	"Discoid lateral meniscus"	"phenotype"
"9330"	"C0409326"	"Anterior knee pain"	"phenotype"
"9331"	"C0409336"	"Flexion contracture-shoulder"	"disease"
"9332"	"C0409338"	"Flexion contracture - elbow"	"disease"
"9333"	"C0409345"	"Flexion contracture - wrist"	"disease"
"9334"	"C0409346"	"Contracture of joint of thumb"	"disease"
"9335"	"C0409348"	"Flexion contracture of proximal interphalangeal joint"	"phenotype"
"9336"	"C0409354"	"Flexion contracture of hip"	"disease"
"9337"	"C0409477"	"Ankylosis of the elbow joint"	"disease"
"9338"	"C0409495"	"Protrusio acetabuli"	"disease"
"9339"	"C0409543"	"Pyogenic arthritis of hip"	"disease"
"9340"	"C0409579"	"Rheumatic joint disease"	"disease"
"9341"	"C0409635"	"Rheumatoid arthritis of ankle"	"disease"
"9342"	"C0409651"	"Seropositive rheumatoid arthritis"	"disease"
"9343"	"C0409652"	"Seronegative rheumatoid arthritis"	"disease"
"9344"	"C0409667"	"Juvenile Chronic Polyarthritis"	"disease"
"9345"	"C0409675"	"Juvenile ankylosing spondylitis"	"disease"
"9346"	"C0409676"	"Juvenile spondyloarthropathy"	"disease"
"9347"	"C0409679"	"Seronegative arthritis"	"disease"
"9348"	"C0409700"	"Synovitis of knee"	"disease"
"9349"	"C0409818"	"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome"	"disease"
"9350"	"C0409860"	"Rotator cuff tear arthropathy"	"disease"
"9351"	"C0409896"	"Familial chondrocalcinosis"	"disease"
"9352"	"C0409931"	"Osteoarthritis of ankle"	"disease"
"9353"	"C0409939"	"Osteoarthritis of glenohumeral joint"	"disease"
"9354"	"C0409952"	"Idiopathic osteoarthritis"	"disease"
"9355"	"C0409954"	"Osteoarthritis of elbow"	"disease"
"9356"	"C0409956"	"Osteoarthrosis of the carpometacarpal joint of the thumb"	"disease"
"9357"	"C0409957"	"Osteoarthritis of distal interphalangeal joint"	"disease"
"9358"	"C0409959"	"Osteoarthritis, Knee"	"disease"
"9359"	"C0409974"	"Lupus Erythematosus"	"disease"
"9360"	"C0409977"	"Bullous systemic lupus erythematosus"	"disease"
"9361"	"C0409979"	"Neonatal Systemic lupus erythematosus"	"disease"
"9362"	"C0409980"	"Primary antiphospholipid syndrome"	"disease"
"9363"	"C0409983"	"Secondary antiphospholipid syndrome"	"disease"
"9364"	"C0409999"	"Undifferentiated Connective Tissue Diseases"	"disease"
"9365"	"C0410000"	"Overlap syndrome"	"disease"
"9366"	"C0410005"	"Nodular fasciitis"	"disease"
"9367"	"C0410158"	"Muscle damage"	"phenotype"
"9368"	"C0410165"	"X-linked muscular dystrophy with abnormal dystrophin"	"disease"
"9369"	"C0410173"	"Severe autosomal recessive muscular dystrophy of childhood - North African type (disorder)"	"disease"
"9370"	"C0410174"	"Fukuyama Type Congenital Muscular Dystrophy"	"disease"
"9371"	"C0410179"	"Ullrich congenital muscular dystrophy 1"	"disease"
"9372"	"C0410180"	"Eichsfeld type congenital muscular dystrophy"	"disease"
"9373"	"C0410189"	"Muscular Dystrophy, Emery-Dreifuss"	"disease"
"9374"	"C0410190"	"Autosomal Dominant Emery-Dreifuss Muscular Dystrophy (disorder)"	"disease"
"9375"	"C0410192"	"Muscular Dystrophy, Scapulohumeral"	"disease"
"9376"	"C0410198"	"Proximal myopathy"	"disease"
"9377"	"C0410203"	"X-linked centronuclear myopathy"	"disease"
"9378"	"C0410204"	"Myopathy, Centronuclear, Autosomal Recessive"	"disease"
"9379"	"C0410207"	"Tubular Aggregate Myopathy"	"disease"
"9380"	"C0410214"	"Myopathy with Abnormal Lipid Metabolism"	"disease"
"9381"	"C0410226"	"Congenital Myotonic Dystrophy"	"disease"
"9382"	"C0410257"	"Traumatic rhabdomyolysis"	"disease"
"9383"	"C0410264"	"Contracture of tendo achilles"	"disease"
"9384"	"C0410266"	"Contracture of hamstring(s)"	"disease"
"9385"	"C0410334"	"Defect of articular cartilage"	"disease"
"9386"	"C0410422"	"Chronic multifocal osteomyelitis"	"disease"
"9387"	"C0410438"	"Primary osteoporosis"	"disease"
"9388"	"C0410445"	"Osteomalacia secondary to drug"	"disease"
"9389"	"C0410480"	"Avascular Necrosis of Femur Head"	"phenotype"
"9390"	"C0410528"	"Skeletal dysplasia"	"disease"
"9391"	"C0410529"	"Hypochondroplasia (disorder)"	"disease"
"9392"	"C0410530"	"Metachondromatosis"	"disease"
"9393"	"C0410533"	"Osteodysplasia"	"disease"
"9394"	"C0410536"	"Mesomelic dysplasia"	"disease"
"9395"	"C0410538"	"Pseudoachondroplasia"	"disease"
"9396"	"C0410539"	"Craniodiaphyseal dysplasia"	"disease"
"9397"	"C0410574"	"Synovial Hypertrophy"	"disease"
"9398"	"C0410606"	"Cervical Disc Degenerative Disorder"	"disease"
"9399"	"C0410607"	"Intervertebral disk calcification"	"disease"
"9400"	"C0410619"	"Prolapsed cervical intervertebral disc"	"phenotype"
"9401"	"C0410623"	"Prolapsed thoracic intervertebral disc"	"phenotype"
"9402"	"C0410632"	"Schmorl's nodes"	"disease"
"9403"	"C0410636"	"Degenerative lumbar spinal stenosis"	"disease"
"9404"	"C0410648"	"Spinal instability"	"disease"
"9405"	"C0410652"	"Cervical spine instability"	"disease"
"9406"	"C0410653"	"Atlantoaxial instability"	"disease"
"9407"	"C0410654"	"Instability of atlantooccipital joint"	"disease"
"9408"	"C0410698"	"Neuromuscular scoliosis"	"disease"
"9409"	"C0410702"	"Adolescent idiopathic scoliosis"	"disease"
"9410"	"C0410719"	"Deformity of bone"	"group"
"9411"	"C0410740"	"Acquired deformity of finger"	"disease"
"9412"	"C0410787"	"Hereditary Connective Tissue Disorder"	"group"
"9413"	"C0410808"	"Prosthetic joint infection"	"disease"
"9414"	"C0410916"	"Neonatal Death"	"phenotype"
"9415"	"C0410935"	"Wide cranial sutures"	"phenotype"
"9416"	"C0410959"	"Fetal acidosis"	"disease"
"9417"	"C0413235"	"Idiopathic anaphylaxis"	"disease"
"9418"	"C0419415"	"Birth length"	"phenotype"
"9419"	"C0422837"	"Neurological observations"	"group"
"9420"	"C0422850"	"Seizures, Somatosensory"	"phenotype"
"9421"	"C0422852"	"Seizures, Auditory"	"phenotype"
"9422"	"C0422853"	"Olfactory seizure"	"phenotype"
"9423"	"C0422854"	"Gustatory seizure"	"phenotype"
"9424"	"C0422855"	"Vertiginous seizure"	"phenotype"
"9425"	"C0422879"	"CNS symptom"	"phenotype"
"9426"	"C0422892"	"Apraxia, Gestural"	"phenotype"
"9427"	"C0422895"	"Primitive reflex"	"phenotype"
"9428"	"C0422943"	"Visual symptoms"	"phenotype"
"9429"	"C0423062"	"Intermittent divergent squint"	"disease"
"9430"	"C0423063"	"Comitant heterophoria"	"disease"
"9431"	"C0423082"	"Hypometric saccades"	"phenotype"
"9432"	"C0423083"	"Hypermetric saccades"	"phenotype"
"9433"	"C0423086"	"Staring"	"phenotype"
"9434"	"C0423109"	"Upward slant of palpebral fissure"	"phenotype"
"9435"	"C0423110"	"Downward slant of palpebral fissure"	"phenotype"
"9436"	"C0423112"	"Short palpebral fissure"	"phenotype"
"9437"	"C0423113"	"Telecanthus"	"phenotype"
"9438"	"C0423122"	"Ptosis of eyebrow"	"phenotype"
"9439"	"C0423224"	"Sunken eyes"	"phenotype"
"9440"	"C0423250"	"Corneal stromal opacities"	"phenotype"
"9441"	"C0423262"	"Corneal endotheliitis"	"disease"
"9442"	"C0423276"	"Shallow anterior chamber of eye"	"phenotype"
"9443"	"C0423280"	"Deep anterior chamber of eye"	"phenotype"
"9444"	"C0423318"	"Heterochromia iridis"	"phenotype"
"9445"	"C0423319"	"Atrophic iris"	"disease"
"9446"	"C0423320"	"Iridodonesis"	"disease"
"9447"	"C0423325"	"Ectropion uveae"	"disease"
"9448"	"C0423336"	"Lens tremulous"	"phenotype"
"9449"	"C0423361"	"Posterior Vitreous Detachment"	"disease"
"9450"	"C0423414"	"Retinal flecking"	"phenotype"
"9451"	"C0423420"	"Absent foveal reflex"	"phenotype"
"9452"	"C0423421"	"Atrophic macular change"	"phenotype"
"9453"	"C0423428"	"Scarred macula"	"phenotype"
"9454"	"C0423431"	"Subretinal exudate"	"phenotype"
"9455"	"C0423461"	"Cilioretinal artery (disorder)"	"disease"
"9456"	"C0423463"	"Opticociliary vessels"	"disease"
"9457"	"C0423479"	"Ear symptom"	"phenotype"
"9458"	"C0423618"	"Throbbing Headache"	"phenotype"
"9459"	"C0423623"	"Bilateral Headache"	"phenotype"
"9460"	"C0423636"	"Cardiac pain"	"phenotype"
"9461"	"C0423637"	"Sore nipple"	"phenotype"
"9462"	"C0423640"	"Right Flank Pain"	"phenotype"
"9463"	"C0423673"	"Pain in spine"	"phenotype"
"9464"	"C0423682"	"Low Back Pain, Mechanical"	"disease"
"9465"	"C0423689"	"Low Back Pain, Posterior Compartment"	"phenotype"
"9466"	"C0423693"	"Growing pains"	"phenotype"
"9467"	"C0423711"	"Neuralgia, Perineal"	"phenotype"
"9468"	"C0423712"	"Neuralgia, Iliohypogastric Nerve"	"phenotype"
"9469"	"C0423717"	"Neurogenic pain"	"phenotype"
"9470"	"C0423719"	"Central post-stroke pain"	"phenotype"
"9471"	"C0423729"	"Chest pain on breathing"	"phenotype"
"9472"	"C0423732"	"After pains"	"phenotype"
"9473"	"C0423747"	"Deep pain on intercourse"	"disease"
"9474"	"C0423757"	"Thin skin"	"phenotype"
"9475"	"C0423772"	"Cutaneous Fistula"	"disease"
"9476"	"C0423773"	"Scaly skin"	"phenotype"
"9477"	"C0423775"	"Scurfiness of scalp"	"disease"
"9478"	"C0423776"	"Palmar pit"	"phenotype"
"9479"	"C0423791"	"Maculopapular Lesion"	"phenotype"
"9480"	"C0423798"	"Increased tendency to bruise"	"phenotype"
"9481"	"C0423807"	"Overcurvature of nail"	"phenotype"
"9482"	"C0423808"	"Brachyonychia"	"phenotype"
"9483"	"C0423813"	"Splits in nails (finding)"	"phenotype"
"9484"	"C0423820"	"Ridged nails"	"phenotype"
"9485"	"C0423823"	"Thin nails"	"phenotype"
"9486"	"C0423848"	"Distichiasis"	"disease"
"9487"	"C0423867"	"Fine hair"	"phenotype"
"9488"	"C0424000"	"Feeling suicidal (finding)"	"phenotype"
"9489"	"C0424068"	"Verbal auditory hallucinations"	"phenotype"
"9490"	"C0424071"	"Hallucinations, Visual, Unformed"	"phenotype"
"9491"	"C0424072"	"Hallucinations, Visual, Formed"	"phenotype"
"9492"	"C0424082"	"Hallucinations, Hypnapompic"	"disease"
"9493"	"C0424083"	"Hallucinations, Dissociative"	"phenotype"
"9494"	"C0424101"	"Inattention"	"phenotype"
"9495"	"C0424139"	"Anxiety and fear"	"disease"
"9496"	"C0424166"	"Social Anxiety"	"disease"
"9497"	"C0424230"	"Motor retardation"	"phenotype"
"9498"	"C0424290"	"Compulsive hoarding"	"disease"
"9499"	"C0424295"	"Hyperactive behavior"	"phenotype"
"9500"	"C0424296"	"Social disinhibition"	"disease"
"9501"	"C0424304"	"Inappropriate laughter"	"phenotype"
"9502"	"C0424323"	"Physical aggression"	"phenotype"
"9503"	"C0424337"	"Hoarding"	"phenotype"
"9504"	"C0424375"	"Biting self"	"phenotype"
"9505"	"C0424448"	"Mask-like facies"	"phenotype"
"9506"	"C0424489"	"Chapping of lips"	"phenotype"
"9507"	"C0424492"	"Coarse features"	"phenotype"
"9508"	"C0424503"	"Dysmorphic facies"	"phenotype"
"9509"	"C0424551"	"Impaired exercise tolerance"	"phenotype"
"9510"	"C0424563"	"Quality of sleep"	"phenotype"
"9511"	"C0424574"	"Duration of sleep"	"phenotype"
"9512"	"C0424605"	"Developmental delay (disorder)"	"phenotype"
"9513"	"C0424621"	"Body Fat Distribution"	"phenotype"
"9514"	"C0424678"	"Lean body mass"	"phenotype"
"9515"	"C0424688"	"Small head"	"phenotype"
"9516"	"C0424690"	"Asymmetrical skull"	"phenotype"
"9517"	"C0424693"	"Broad skull"	"phenotype"
"9518"	"C0424711"	"Orbital separation diminished"	"phenotype"
"9519"	"C0424731"	"Single transverse palmar crease"	"phenotype"
"9520"	"C0424790"	"Rigor - Temperature-associated observation"	"phenotype"
"9521"	"C0424810"	"Periorbital swelling"	"phenotype"
"9522"	"C0424939"	"Learning difficulties"	"phenotype"
"9523"	"C0425258"	"Mobility poor"	"phenotype"
"9524"	"C0425449"	"Gasping for breath"	"phenotype"
"9525"	"C0425481"	"Sighing respiration"	"phenotype"
"9526"	"C0425492"	"Irregular breathing"	"phenotype"
"9527"	"C0425722"	"Sexual symptom"	"phenotype"
"9528"	"C0425772"	"Premature development of the breasts"	"phenotype"
"9529"	"C0425782"	"Breast size"	"phenotype"
"9530"	"C0425791"	"Peau d'orange surface of breast"	"phenotype"
"9531"	"C0425795"	"Absent nipple (finding)"	"phenotype"
"9532"	"C0425913"	"Uterus absent (finding)"	"phenotype"
"9533"	"C0425957"	"Secondary amenorrhea"	"phenotype"
"9534"	"C0426209"	"amniotic fluid meconium stained"	"phenotype"
"9535"	"C0426317"	"Genitourinary symptoms"	"phenotype"
"9536"	"C0426320"	"Absent scrotum"	"disease"
"9537"	"C0426359"	"Urinary symptoms"	"phenotype"
"9538"	"C0426396"	"Urine looks dark"	"phenotype"
"9539"	"C0426415"	"Large nose"	"phenotype"
"9540"	"C0426421"	"Wide nose"	"phenotype"
"9541"	"C0426422"	"Narrow nose"	"phenotype"
"9542"	"C0426428"	"Bifid nasal tip"	"phenotype"
"9543"	"C0426429"	"Broad nasal tip"	"phenotype"
"9544"	"C0426430"	"Drooping nasal tip"	"phenotype"
"9545"	"C0426433"	"Pinched nasal tip"	"phenotype"
"9546"	"C0426439"	"Narrow nostrils"	"phenotype"
